series,q_A^-1,I_q,pixel_x,pixel_y,match_score
salt_free,0.0073596,0.386404,202,252,0.7848
salt_free,0.0081481,0.288909,205,361,0.9389
salt_free,0.0086738,0.247764,207,407,0.8517
salt_free,0.0094624,0.211986,210,447,0.9743
salt_free,0.0102509,0.178891,213,484,0.9615
salt_free,0.0107766,0.127907,215,541,0.7943
salt_free,0.0120908,0.107335,220,564,0.3335
salt_free,0.0128793,0.092129,223,581,0.5074
salt_free,0.0144564,0.082290,229,592,0.5819
salt_free,0.0152449,0.082290,232,592,0.5285
salt_free,0.0170848,0.071556,239,604,0.4557
salt_free,0.0183990,0.067084,244,609,0.4062
salt_free,0.0199761,0.065295,250,611,0.4472
salt_free,0.0215532,0.064401,256,612,0.4226
salt_free,0.0223417,0.064401,259,612,0.4151
salt_free,0.0244444,0.065295,267,611,0.4281
salt_free,0.0252330,0.066190,270,610,0.3846
salt_free,0.0273357,0.066190,278,610,0.3792
salt_free,0.0299642,0.071556,288,604,0.4654
salt_free,0.0325926,0.089445,298,584,0.4093
salt_free,0.0404779,0.130590,328,538,0.4853
salt_free,0.0431063,0.135957,338,532,0.4136
salt_free,0.0454719,0.153846,347,512,0.5413
salt_free,0.0533572,0.197674,377,463,0.7383
salt_free,0.0559857,0.209302,387,450,0.6628
salt_free,0.0586141,0.212880,397,446,0.7340
salt_free,0.0612425,0.215564,407,443,1.0000
salt_free,0.0638710,0.213775,417,445,1.0000
salt_free,0.0664994,0.210197,427,449,1.0000
salt_free,0.0691278,0.202147,437,458,0.9096
salt_free,0.0717563,0.188730,447,473,0.9372
salt_free,0.0746476,0.175313,458,488,0.9003
salt_free,0.0770131,0.161002,467,504,0.8415
salt_free,0.0796416,0.148479,477,518,0.7909
salt_free,0.0822700,0.139535,487,528,0.7889
salt_free,0.0848984,0.127907,497,541,0.9136
salt_free,0.0875269,0.114490,507,556,0.5398
salt_free,0.0898925,0.103757,516,568,0.6645
salt_free,0.0925209,0.099284,526,573,0.6808
salt_free,0.0951493,0.092129,536,581,0.5758
salt_free,0.0975149,0.085868,545,588,0.5943
salt_free,0.1001434,0.082290,555,592,0.6095
salt_free,0.1027718,0.077818,565,597,0.5432
salt_free,0.1054002,0.074240,575,601,0.5157
salt_free,0.1080287,0.069767,585,606,0.6328
salt_free,0.1106571,0.065295,595,611,0.6485
salt_free,0.1130227,0.057245,604,620,0.7048
salt_free,0.1156511,0.054562,614,623,0.6406
salt_free,0.1182796,0.057245,624,620,0.5909
salt_free,0.1209080,0.056351,634,621,0.5718
salt_free,0.1235364,0.052773,644,625,0.6645
salt_free,0.1261649,0.052773,654,625,0.6565
salt_free,0.1287933,0.049195,664,629,0.6019
salt_free,0.1311589,0.046512,673,632,0.5827
salt_free,0.1337873,0.042934,683,636,0.6398
salt_free,0.1364158,0.042039,693,637,0.6328
salt_free,0.1390442,0.041145,703,638,0.6077
salt_free,0.1414098,0.041145,712,638,0.6115
salt_free,0.1443011,0.040250,723,639,0.6739
salt_free,0.1466667,0.033095,732,647,0.6297
salt_free,0.1492951,0.033095,742,647,0.5941
salt_free,0.1516607,0.029517,751,651,0.7142
salt_free,0.1542891,0.029517,761,651,0.5989
salt_free,0.1569176,0.029517,771,651,0.6485
salt_free,0.1595460,0.030411,781,650,0.5690
salt_free,0.1619116,0.030411,790,650,0.6172
salt_free,0.1648029,0.026834,801,654,0.5829
salt_free,0.1671685,0.026834,810,654,0.5301
salt_free,0.1695341,0.022361,819,659,0.6315
salt_free,0.1721625,0.018784,829,663,0.6328
salt_free,0.1747909,0.020572,839,661,0.6157
salt_free,0.1771565,0.024150,848,657,0.5277
salt_free,0.1797849,0.023256,858,658,0.6565
salt_free,0.1824134,0.016995,868,665,0.6645
salt_free,0.1850418,0.013417,878,669,0.5737
salt_free,0.1871446,0.015206,886,667,0.6588
salt_free,0.1897730,0.015206,896,667,0.6398
salt_free,0.1926643,0.017889,907,664,0.6403
salt_free,0.1950299,0.012522,916,670,0.6153
salt_free,0.1973955,0.010733,925,672,0.7111
salt_free,0.2000239,0.010733,935,672,0.6136
salt_free,0.2026523,0.011628,945,671,0.6293
salt_free,0.2050179,0.016100,954,666,0.5772
salt_free,0.2073835,0.014311,963,668,0.6728
salt_free,0.2100119,0.016100,973,666,0.6000
salt_free,0.2123775,0.016100,982,666,0.5277
salt_free,0.2150060,0.013417,992,669,0.7309
10mM,0.0076225,0.330948,203,314,0.7793
10mM,0.0081481,0.256708,205,397,0.7107
10mM,0.0094624,0.190519,210,471,0.8834
10mM,0.0102509,0.162791,213,502,0.7804
10mM,0.0107766,0.124329,215,545,0.5079
10mM,0.0120908,0.106440,220,565,0.6287
10mM,0.0157706,0.094812,234,578,0.3653
10mM,0.0189247,0.088551,246,585,0.3385
10mM,0.0199761,0.099284,250,573,0.5137
10mM,0.0210275,0.093023,254,580,0.4308
10mM,0.0226045,0.097496,260,575,0.3330
10mM,0.0239188,0.097496,265,575,0.3659
10mM,0.0252330,0.093023,270,580,0.5448
10mM,0.0273357,0.104651,278,567,0.4118
10mM,0.0299642,0.101968,288,570,0.3953
10mM,0.0323297,0.111807,297,559,0.5040
10mM,0.0352210,0.117174,308,553,0.3711
10mM,0.0378495,0.128801,318,540,0.4729
10mM,0.0428435,0.146691,337,520,0.3389
10mM,0.0530944,0.177996,376,485,0.4714
10mM,0.0562485,0.185152,388,477,0.6353
10mM,0.0586141,0.189624,397,472,0.6199
10mM,0.0612425,0.188730,407,473,1.0000
10mM,0.0638710,0.187835,417,474,1.0000
10mM,0.0664994,0.184258,427,478,1.0000
10mM,0.0691278,0.177102,437,486,1.0000
10mM,0.0717563,0.171735,447,492,0.7250
10mM,0.0743847,0.163685,457,501,0.6837
10mM,0.0770131,0.151163,467,515,0.6629
10mM,0.0793787,0.140429,476,527,0.5192
10mM,0.0820072,0.134168,486,534,0.5675
10mM,0.0846356,0.115385,496,555,0.4785
10mM,0.0898925,0.104651,516,567,0.3869
10mM,0.0925209,0.099284,526,573,0.4051
10mM,0.0951493,0.092129,536,581,0.3559
10mM,0.0975149,0.093023,545,580,0.5346
10mM,0.1001434,0.082290,555,592,0.3584
10mM,0.1027718,0.084079,565,590,0.5315
10mM,0.1054002,0.073345,575,602,0.3268
10mM,0.1106571,0.065295,595,611,0.3776
10mM,0.1132855,0.058140,605,619,0.3802
10mM,0.1156511,0.055456,614,622,0.3447
10mM,0.1182796,0.058140,624,619,0.3358
10mM,0.1209080,0.057245,634,620,0.3580
10mM,0.1235364,0.053667,644,624,0.3627
10mM,0.1261649,0.052773,654,625,0.3835
10mM,0.1287933,0.049195,664,629,0.3429
10mM,0.1337873,0.043828,683,635,0.3673
10mM,0.1364158,0.042934,693,636,0.3402
10mM,0.1443011,0.040250,723,639,0.4054
10mM,0.1469295,0.033989,733,646,0.3327
10mM,0.1492951,0.033095,742,647,0.4037
10mM,0.1516607,0.029517,751,651,0.4250
10mM,0.1569176,0.030411,771,650,0.3627
10mM,0.1598088,0.031306,782,649,0.3678
10mM,0.1619116,0.030411,790,650,0.3544
10mM,0.1648029,0.027728,801,653,0.3447
10mM,0.1695341,0.023256,819,658,0.3446
10mM,0.1797849,0.024150,858,657,0.4017
10mM,0.1824134,0.017889,868,664,0.4272
10mM,0.1850418,0.025939,878,655,0.3983
10mM,0.1871446,0.025939,886,655,0.5186
10mM,0.1897730,0.024150,896,657,0.4397
10mM,0.1924014,0.027728,906,653,0.3458
10mM,0.1950299,0.023256,916,658,0.3735
10mM,0.1973955,0.025939,925,655,0.3525
10mM,0.2000239,0.022361,935,659,0.4900
10mM,0.2026523,0.026834,945,654,0.4181
10mM,0.2050179,0.025939,954,655,0.4329
10mM,0.2073835,0.026834,963,654,0.5613
10mM,0.2150060,0.026834,992,654,0.5732
50mM,0.0081481,0.464222,205,165,0.9882
50mM,0.0086738,0.395349,207,242,0.8967
50mM,0.0094624,0.346154,210,297,0.9882
50mM,0.0102509,0.310376,213,337,1.0000
50mM,0.0107766,0.264758,215,388,0.9491
50mM,0.0120908,0.245975,220,409,0.5216
50mM,0.0128793,0.241503,223,414,0.5572
50mM,0.0141935,0.219141,228,439,0.5486
50mM,0.0152449,0.219141,232,439,0.4767
50mM,0.0170848,0.218247,239,440,0.5923
50mM,0.0186619,0.203936,245,456,0.6493
50mM,0.0202389,0.203041,251,457,0.7130
50mM,0.0210275,0.203041,254,457,0.4474
50mM,0.0223417,0.188730,259,473,0.5300
50mM,0.0244444,0.183363,267,479,0.4721
50mM,0.0252330,0.183363,270,479,0.4130
50mM,0.0273357,0.180680,278,482,0.4290
50mM,0.0323297,0.169946,297,494,0.4941
50mM,0.0349582,0.167263,307,497,0.4345
50mM,0.0378495,0.167263,318,497,0.5524
50mM,0.0402151,0.161896,327,503,0.4922
50mM,0.0428435,0.161002,337,504,0.5157
50mM,0.0454719,0.164580,347,500,0.3656
50mM,0.0481004,0.161002,357,504,0.3536
50mM,0.0509916,0.163685,368,501,0.4029
50mM,0.0536201,0.161002,378,504,0.5312
50mM,0.0559857,0.160107,387,505,0.6864
50mM,0.0586141,0.161002,397,504,0.7032
50mM,0.0609797,0.160107,406,505,1.0000
50mM,0.0638710,0.160107,417,505,1.0000
50mM,0.0664994,0.158318,427,507,1.0000
50mM,0.0691278,0.153846,437,512,1.0000
50mM,0.0717563,0.150268,447,516,0.9170
50mM,0.0743847,0.143113,457,524,0.8932
50mM,0.0767503,0.135063,466,533,0.7065
50mM,0.0793787,0.127013,476,542,0.8622
50mM,0.0820072,0.123435,486,546,0.8858
50mM,0.0846356,0.115385,496,555,0.9413
50mM,0.0872640,0.109123,506,562,0.6479
50mM,0.0898925,0.104651,516,567,0.7396
50mM,0.0925209,0.099284,526,573,0.8241
50mM,0.0951493,0.092129,536,581,0.6142
50mM,0.0975149,0.085868,545,588,0.7537
50mM,0.1001434,0.082290,555,592,0.7886
50mM,0.1027718,0.078712,565,596,0.7452
50mM,0.1054002,0.076029,575,599,0.6053
50mM,0.1080287,0.069767,585,606,0.6368
50mM,0.1106571,0.066190,595,610,0.6978
50mM,0.1132855,0.057245,605,620,0.8295
50mM,0.1156511,0.055456,614,622,0.7147
50mM,0.1182796,0.058140,624,619,0.6273
50mM,0.1209080,0.056351,634,621,0.4990
50mM,0.1235364,0.053667,644,624,0.7746
50mM,0.1287933,0.048301,664,630,0.4532
50mM,0.1314217,0.045617,674,633,0.4975
50mM,0.1337873,0.042934,683,636,0.5812
50mM,0.1364158,0.042039,693,637,0.5686
50mM,0.1387814,0.040250,702,639,0.4320
50mM,0.1469295,0.033989,733,646,0.8100
50mM,0.1492951,0.033095,742,647,0.6940
50mM,0.1516607,0.029517,751,651,0.8222
50mM,0.1542891,0.029517,761,651,0.5906
50mM,0.1569176,0.027728,771,653,0.3367
50mM,0.1695341,0.020572,819,661,0.3625
50mM,0.1721625,0.019678,829,662,0.6862
50mM,0.1747909,0.019678,839,662,0.5261
50mM,0.1824134,0.016995,868,665,0.6681
50mM,0.1850418,0.014311,878,668,0.5392
50mM,0.1871446,0.015206,886,667,0.7282
50mM,0.1897730,0.014311,896,668,0.4906
50mM,0.1950299,0.011628,916,671,0.5255
50mM,0.1973955,0.010733,925,672,0.6982
50mM,0.2000239,0.010733,935,672,0.5989
50mM,0.2026523,0.012522,945,670,0.6461
50mM,0.2073835,0.013417,963,669,0.4074
50mM,0.2150060,0.014311,992,668,0.6920
0.5M,0.0102509,0.474955,213,153,0.7854
0.5M,0.0107766,0.429338,215,204,1.0000
0.5M,0.0120908,0.392665,220,245,0.6219
0.5M,0.0128793,0.379249,223,260,1.0000
0.5M,0.0141935,0.357782,228,284,0.6471
0.5M,0.0157706,0.342576,234,301,0.4137
0.5M,0.0170848,0.322898,239,323,1.0000
0.5M,0.0186619,0.303220,245,345,0.4443
0.5M,0.0202389,0.296959,251,352,0.5566
0.5M,0.0212903,0.283542,255,367,1.0000
0.5M,0.0226045,0.271020,260,381,0.4721
0.5M,0.0244444,0.256708,267,397,0.5753
0.5M,0.0252330,0.248658,270,406,0.4535
0.5M,0.0273357,0.240608,278,415,0.4414
0.5M,0.0346953,0.209302,306,450,0.3885
0.5M,0.0378495,0.193202,318,468,0.4458
0.5M,0.0402151,0.182469,327,480,0.4227
0.5M,0.0425806,0.175313,336,488,0.5064
0.5M,0.0586141,0.137746,397,530,0.4646
0.5M,0.0609797,0.131485,406,537,0.5159
0.5M,0.0638710,0.128801,417,540,0.4630
0.5M,0.0664994,0.125224,427,544,0.3458
0.5M,0.0691278,0.120751,437,549,0.4516
0.5M,0.0717563,0.116279,447,554,0.4101
0.5M,0.0743847,0.110912,457,560,0.4915
0.5M,0.0770131,0.105546,467,566,0.4082
0.5M,0.0793787,0.101968,476,570,0.4248
0.5M,0.0848984,0.094812,497,578,0.3847
0.5M,0.0872640,0.091234,506,582,0.3732
0.5M,0.0948865,0.073345,535,602,0.3224
0.5M,0.0975149,0.072451,545,603,0.3242
0.5M,0.1001434,0.069767,555,606,0.3325
0.5M,0.1080287,0.069767,585,606,0.3541
0.5M,0.1106571,0.066190,595,610,0.3867
0.5M,0.1127599,0.069767,603,606,0.5075
0.5M,0.1156511,0.065295,614,611,0.4172
0.5M,0.1182796,0.066190,624,610,0.4414
0.5M,0.1209080,0.057245,634,620,0.3972
0.5M,0.1235364,0.053667,644,624,0.3925
0.5M,0.1261649,0.056351,654,621,0.3428
0.5M,0.1287933,0.050089,664,628,0.3712
0.5M,0.1311589,0.056351,673,621,0.3840
0.5M,0.1337873,0.055456,683,622,0.4938
0.5M,0.1364158,0.042934,693,636,0.4078
0.5M,0.1387814,0.050984,702,627,0.3887
0.5M,0.1416726,0.042039,713,637,0.4458
0.5M,0.1443011,0.041145,723,638,0.3853
0.5M,0.1466667,0.048301,732,630,0.4622
0.5M,0.1495579,0.043828,743,635,0.4856
0.5M,0.1516607,0.041145,751,638,0.3764
0.5M,0.1545520,0.042934,762,636,0.5279
0.5M,0.1569176,0.043828,771,635,0.4906
0.5M,0.1595460,0.043828,781,635,0.4553
0.5M,0.1619116,0.042934,790,636,0.5217
0.5M,0.1648029,0.036673,801,643,0.3665
0.5M,0.1671685,0.041145,810,638,0.3957
0.5M,0.1695341,0.038462,819,641,0.4914
0.5M,0.1721625,0.034884,829,645,0.5001
0.5M,0.1747909,0.034884,839,645,0.4624
0.5M,0.1771565,0.034884,848,645,0.5045
0.5M,0.1824134,0.032200,868,648,0.4906
0.5M,0.1847790,0.029517,877,651,0.4873
0.5M,0.1871446,0.031306,886,649,0.4422
0.5M,0.1897730,0.031306,896,649,0.4827
0.5M,0.1924014,0.031306,906,649,0.4754
0.5M,0.1947670,0.029517,915,651,0.5001
0.5M,0.1973955,0.028623,925,652,0.3612
0.5M,0.1997611,0.024150,934,657,0.4979
0.5M,0.2023895,0.032200,944,648,0.5760
0.5M,0.2047551,0.035778,953,644,0.5164
0.5M,0.2073835,0.034884,963,645,0.3951
0.5M,0.2097491,0.033095,972,647,0.4458
0.5M,0.2123775,0.033989,982,646,0.6586
1M,0.0144564,0.483900,229,143,1.0000
1M,0.0157706,0.454383,234,176,1.0000
1M,0.0173477,0.420394,240,214,0.7557
1M,0.0186619,0.404293,245,232,0.9278
1M,0.0197133,0.384615,249,254,0.6778
1M,0.0212903,0.357782,255,284,0.5145
1M,0.0226045,0.341682,260,302,0.9034
1M,0.0241816,0.316637,266,330,0.6014
1M,0.0254958,0.297853,271,351,0.7267
1M,0.0273357,0.283542,278,367,0.7224
1M,0.0297013,0.253131,287,401,0.7224
1M,0.0325926,0.233453,298,423,0.5351
1M,0.0352210,0.219141,308,439,0.4314
1M,0.0373238,0.209302,316,450,0.3601
1M,0.0404779,0.201252,328,459,0.3713
1M,0.0431063,0.186047,338,476,0.4627
1M,0.0454719,0.179785,347,483,0.5065
1M,0.0530944,0.146691,376,520,0.4820
1M,0.0562485,0.141324,388,526,0.5056
1M,0.0586141,0.133274,397,535,0.5516
1M,0.0609797,0.129696,406,539,0.4708
1M,0.0638710,0.124329,417,545,0.4629
1M,0.0662366,0.118962,426,551,0.3456
1M,0.1027718,0.067979,565,608,0.8224
1M,0.1054002,0.067084,575,609,0.4551
1M,0.1130227,0.056351,604,621,0.6137
1M,0.1156511,0.054562,614,623,0.5394
1M,0.1182796,0.057245,624,620,0.5131
1M,0.1209080,0.056351,634,621,0.4544
1M,0.1235364,0.052773,644,625,0.5596
1M,0.1287933,0.049195,664,629,0.4802
1M,0.1314217,0.045617,674,633,0.4692
1M,0.1337873,0.042934,683,636,0.5596
1M,0.1364158,0.042039,693,637,0.5328
1M,0.1390442,0.041145,703,638,0.5943
1M,0.1416726,0.040250,713,639,0.4950
1M,0.1443011,0.039356,723,640,0.4551
1M,0.1466667,0.033095,732,647,0.6278
1M,0.1492951,0.032200,742,648,0.5004
1M,0.1516607,0.028623,751,652,0.6159
1M,0.1545520,0.029517,762,651,0.5328
1M,0.1569176,0.029517,771,651,0.5461
1M,0.1595460,0.029517,781,651,0.3220
1M,0.1648029,0.026834,801,654,0.5328
1M,0.1671685,0.025939,810,655,0.4209
1M,0.1695341,0.022361,819,659,0.5473
1M,0.1721625,0.018784,829,663,0.5328
1M,0.1747909,0.020572,839,661,0.4924
1M,0.1824134,0.016995,868,665,0.5802
1M,0.1850418,0.013417,878,669,0.4666
1M,0.1874074,0.015206,887,667,0.5683
1M,0.1900358,0.015206,897,667,0.5528
1M,0.1924014,0.016100,906,666,0.3506
1M,0.1950299,0.012522,916,670,0.5802
1M,0.1973955,0.010733,925,672,0.5865
1M,0.2000239,0.010733,935,672,0.5802
1M,0.2026523,0.011628,945,671,0.5455
